entityId	entitySourceCode	entity	codeType	code	source
1585622404075217332	944	阿帕他胺片	医保药品分类与代码	XL02BBA326A001010102180	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1585622404075217332	944	阿帕他胺片	医保药品分类与代码	XL02BBA326A001010178537	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1585622404075217332	944	阿帕他胺片	医保药品分类与代码	XL02BBA326A001020278537	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010100166	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010100220	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010100716	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010100960	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010101084	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010101156	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010101174	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010101190	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010101343	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010101352	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102430	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102458	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102591	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102615	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102625	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102786	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102816	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102826	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
1567677479640277801	1034	艾附暖宫丸	医保药品分类与代码	ZD03AAA0043010102891	《医疗保障基金智能监管规则库、知识库（2025年版）》“药品区分性别使用”规则对应知识点明细
